time,concss
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,4.51576451612903
2009-02-15,3.140835
2009-03-15,5.686424516129034
2009-04-15,2.1409157142857143
2009-05-15,5.332209677419354
2009-06-15,3.430843125
2009-07-15,5.582206451612905
2009-08-15,5.737162258064518
2009-09-15,8.346239
2009-10-15,6.81562935483871
2009-11-15,5.992384
2009-12-15,2.9105179999999993
2010-01-15,2.4211712903225804
2010-02-15,1.7470603846153845
2010-03-15,5.24602935483871
2010-04-15,5.167253999999999
2010-05-15,5.457735483870968
2010-06-15,4.982389999999999
2010-07-15,4.0537100000000015
2010-08-15,5.62017625
2010-09-15,4.68687888888889
2010-10-15,4.4660025
2010-11-15,4.944067894736842
2010-12-15,3.534126818181818
2011-01-15,3.9850024137931035
2011-02-15,6.22281
2011-03-15,5.340019000000001
2011-04-15,3.9823150000000003
2011-05-15,4.792418571428572
2011-06-15,4.7878437931034465
2011-07-15,3.8191490322580655
2011-08-15,4.328636129032258
2011-09-15,7.066579000000001
2011-10-15,7.255075161290324
2011-11-15,4.903083103448275
2011-12-15,9.788442222222224
2012-01-15,7.460941000000002
2012-02-15,3.9783788888888885
2012-03-15,5.908236000000001
2012-04-15,5.404002
2012-05-15,3.8459871428571426
2012-06-15,5.8529729999999995
2012-07-15,4.847556999999999
2012-08-15,4.277377999999999
2012-09-15,8.611108999999999
2012-10-15,7.335700000000003
2012-11-15,5.12409
2012-12-15,3.4790619999999994
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
