time,vmrc2h4
2000-01-15,2.208395004272461
2000-02-15,1.454714298248291
2000-03-15,0.8214730620384216
2000-04-15,0.6371542811393738
2000-05-15,0.5975204706192017
2000-06-15,0.542401134967804
2000-07-15,0.7183293104171753
2000-08-15,0.8264316320419312
2000-09-15,
2000-10-15,
2000-11-15,1.725138545036316
2000-12-15,2.413179397583008
2001-01-15,2.0295286178588867
2001-02-15,1.5015593767166138
2001-03-15,1.089893102645874
2001-04-15,0.7188944220542908
2001-05-15,0.5317062139511108
2001-06-15,0.6368405222892761
2001-07-15,0.5289320945739746
2001-08-15,0.7478679418563843
2001-09-15,1.1239935159683228
2001-10-15,1.301597237586975
2001-11-15,1.8251925706863403
2001-12-15,1.854107141494751
2002-01-15,1.7523826360702515
2002-02-15,1.0058798789978027
2002-03-15,0.7418960928916931
2002-04-15,0.6371890306472778
2002-05-15,0.5120173096656799
2002-06-15,0.5106267929077148
2002-07-15,0.478021502494812
2002-08-15,0.5825314521789551
2002-09-15,0.8159440755844116
2002-10-15,1.2772955894470215
2002-11-15,1.3357391357421875
2002-12-15,2.0682523250579834
2003-01-15,1.6483049392700195
2003-02-15,1.2513014078140259
2003-03-15,0.9283198714256287
2003-04-15,0.5085828900337219
2003-05-15,0.4858839809894562
2003-06-15,0.5006211400032043
2003-07-15,0.46494796872138977
2003-08-15,0.5487934350967407
2003-09-15,0.7111973762512207
2003-10-15,1.060023546218872
2003-11-15,1.5779361724853516
2003-12-15,1.5618563890457153
2004-01-15,0.9963214993476868
2004-02-15,0.9844591617584229
2004-03-15,0.927331268787384
2004-04-15,0.5273998379707336
2004-05-15,0.5119568109512329
2004-06-15,0.5078551173210144
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
