time,concNnh4
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,0.8555644750595093
2016-02-15,0.49811628460884094
2016-03-15,0.6585343480110168
2016-04-15,0.4559664726257324
2016-05-15,0.394366592168808
2016-06-15,0.2138942927122116
2016-07-15,0.18415607511997223
2016-08-15,0.23150162398815155
2016-09-15,0.47943124175071716
2016-10-15,0.373688668012619
2016-11-15,0.5045854449272156
2016-12-15,0.31570911407470703
2017-01-15,1.0103168487548828
2017-02-15,0.8820098042488098
2017-03-15,0.6243419051170349
2017-04-15,0.4432407319545746
2017-05-15,0.3930889368057251
2017-06-15,0.24888435006141663
2017-07-15,0.1755889356136322
2017-08-15,0.20293262600898743
2017-09-15,0.38563260436058044
2017-10-15,0.28422653675079346
2017-11-15,0.6293055415153503
2017-12-15,0.4721810221672058
2018-01-15,0.7157357335090637
2018-02-15,0.8845338225364685
2018-03-15,0.714215874671936
2018-04-15,0.7280660271644592
2018-05-15,0.2544778287410736
2018-06-15,0.16360555589199066
2018-07-15,0.1535520702600479
2018-08-15,0.1634860634803772
2018-09-15,0.3079546093940735
2018-10-15,0.7379767894744873
2018-11-15,0.8989258408546448
2018-12-15,0.5873991250991821
2019-01-15,0.6410818099975586
2019-02-15,0.8880223035812378
2019-03-15,0.43682894110679626
2019-04-15,0.3307415246963501
2019-05-15,0.3377719223499298
2019-06-15,0.1840081363916397
2019-07-15,0.09181074053049088
2019-08-15,0.24413476884365082
2019-09-15,0.2022765874862671
2019-10-15,0.6017157435417175
2019-11-15,0.8929087519645691
2019-12-15,0.6948999762535095
