time,wetoxs
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,-43.99999999999996
2012-02-15,372.8499999999999
2012-03-15,177.4166666666666
2012-04-15,241.19230769230762
2012-05-15,518.9999999999999
2012-06-15,505.2380952380951
2012-07-15,729.9599999999998
2012-08-15,385.9285714285714
2012-09-15,250.12499999999997
2012-10-15,163.49999999999997
2012-11-15,185.41666666666663
2012-12-15,269.31999999999994
2013-01-15,851.5172413793101
2013-02-15,398.0833333333332
2013-03-15,347.2222222222222
2013-04-15,382.9629629629628
2013-05-15,408.4799999999999
2013-06-15,362.31818181818176
2013-07-15,318.8275862068965
2013-08-15,248.70833333333326
2013-09-15,452.9615384615384
2013-10-15,493.14285714285705
2013-11-15,592.4615384615383
2013-12-15,1434.7142857142856
2014-01-15,-347.1999999999999
2014-02-15,1671.4642857142856
2014-03-15,280.18518518518516
2014-04-15,278.8571428571428
2014-05-15,554.642857142857
2014-06-15,228.5555555555555
2014-07-15,609.142857142857
2014-08-15,304.9565217391304
2014-09-15,158.48275862068962
2014-10-15,1588.2142857142856
2014-11-15,658.0357142857141
2014-12-15,663.5185185185184
2015-01-15,512.8148148148148
2015-02-15,306.1599999999999
2015-03-15,253.46153846153842
2015-04-15,276.6923076923076
2015-05-15,556.0357142857141
2015-06-15,633.4615384615383
2015-07-15,472.03571428571416
2015-08-15,256.28
2015-09-15,97.19999999999996
2015-10-15,214.4285714285714
2015-11-15,450.655172413793
2015-12-15,703.7241379310343
2016-01-15,329.69999999999993
2016-02-15,2549.192307692307
2016-03-15,133.40740740740736
2016-04-15,234.8260869565217
2016-05-15,263.03703703703695
2016-06-15,527.7307692307692
2016-07-15,583.2083333333333
2016-08-15,229.6666666666666
2016-09-15,307.2777777777777
2016-10-15,223.49999999999994
2016-11-15,84.31999999999998
2016-12-15,289.96153846153845
2017-01-15,476.4347826086955
2017-02-15,446.2727272727272
2017-03-15,181.49999999999997
2017-04-15,281.8181818181817
2017-05-15,416.19999999999993
2017-06-15,799.653846153846
2017-07-15,483.391304347826
2017-08-15,464.4999999999999
2017-09-15,691.2666666666664
2017-10-15,730.7999999999998
2017-11-15,173.8333333333333
2017-12-15,32.37499999999999
2018-01-15,319.2666666666666
2018-02-15,191.19999999999996
2018-03-15,239.9523809523809
2018-04-15,556.1199999999999
2018-05-15,580.6799999999998
2018-06-15,218.03846153846146
2018-07-15,323.4285714285713
2018-08-15,448.3999999999999
2018-09-15,314.54545454545445
2018-10-15,276.82608695652164
2018-11-15,184.41379310344826
2018-12-15,166.47619047619042
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
